w,x,y
6.189798,1.362971,3.750000
3.831360,1.054970,1.406250
2.371535,0.965920,0.527344
1.467932,0.940990,0.197754
0.908620,0.937447,0.074158
0.562418,0.941047,0.027809
0.348125,0.946716,0.010428
0.215483,0.952639,0.003911
0.133379,0.958197,0.001466
0.082559,0.963211,0.000550
0.051102,0.967665,0.000206
0.031631,0.971596,0.000077
0.019579,0.975054,0.000029
0.012119,0.978093,0.000011
0.007501,0.980763,0.000004
0.004643,0.983108,0.000002
0.002874,0.985167,0.000001
0.001779,0.986975,0.000000
0.001101,0.988563,0.000000
0.000682,0.989957,0.000000
0.000422,0.991181,0.000000
0.000261,0.992256,0.000000
0.000162,0.993200,0.000000
0.000100,0.994029,0.000000
0.000062,0.994757,0.000000
0.000038,0.995396,0.000000
0.000024,0.995958,0.000000
0.000015,0.996450,0.000000
0.000009,0.996883,0.000000
0.000006,0.997263,0.000000
0.000003,0.997597,0.000000
0.000002,0.997890,0.000000
0.000001,0.998147,0.000000
0.000001,0.998373,0.000000
0.000001,0.998571,0.000000
0.000000,0.998745,0.000000
0.000000,0.998898,0.000000
0.000000,0.999033,0.000000
0.000000,0.999151,0.000000
0.000000,0.999254,0.000000
0.000000,0.999345,0.000000
0.000000,0.999425,0.000000
0.000000,0.999495,0.000000
0.000000,0.999557,0.000000
0.000000,0.999611,0.000000
0.000000,0.999658,0.000000
0.000000,0.999700,0.000000
0.000000,0.999736,0.000000
0.000000,0.999768,0.000000
0.000000,0.999797,0.000000
0.000000,0.999821,0.000000
0.000000,0.999843,0.000000
0.000000,0.999862,0.000000
0.000000,0.999879,0.000000
0.000000,0.999894,0.000000
0.000000,0.999907,0.000000
0.000000,0.999918,0.000000
0.000000,0.999928,0.000000
0.000000,0.999937,0.000000
0.000000,0.999945,0.000000
0.000000,0.999951,0.000000
0.000000,0.999957,0.000000
0.000000,0.999962,0.000000
0.000000,0.999967,0.000000
0.000000,0.999971,0.000000
0.000000,0.999975,0.000000
0.000000,0.999978,0.000000
0.000000,0.999980,0.000000
0.000000,0.999983,0.000000
0.000000,0.999985,0.000000
0.000000,0.999987,0.000000
0.000000,0.999988,0.000000
0.000000,0.999990,0.000000
0.000000,0.999991,0.000000
0.000000,0.999992,0.000000
0.000000,0.999993,0.000000
0.000000,0.999994,0.000000
0.000000,0.999995,0.000000
0.000000,0.999995,0.000000
0.000000,0.999996,0.000000
0.000000,0.999996,0.000000
0.000000,0.999997,0.000000
0.000000,0.999997,0.000000
0.000000,0.999998,0.000000
0.000000,0.999998,0.000000
0.000000,0.999998,0.000000
0.000000,0.999998,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,0.999999,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
0.000000,1.000000,0.000000
