w,x,y,z
2.338848,1.321572,9.054762,230.211726
2.262543,1.272245,8.211217,150.961088
2.199079,1.230808,7.458738,98.967968
2.146621,1.196145,6.787765,64.861221
2.103516,1.167249,6.189698,42.491206
2.068299,1.143220,5.656805,27.822374
2.039692,1.123270,5.182141,18.206540
2.016590,1.106718,4.759467,11.905959
1.998051,1.092977,4.383192,7.780350
1.983281,1.081555,4.048299,5.081502
1.971612,1.072034,3.750299,3.318492
1.962489,1.064068,3.485173,2.169219
1.955452,1.057369,3.249329,1.422365
1.950122,1.051700,3.039554,0.939296
1.946187,1.046867,2.852983,0.629066
1.943392,1.042709,2.687056,0.432011
1.941528,1.039097,2.539492,0.308988
1.940427,1.035923,2.408255,0.234312
1.939950,1.033101,2.291533,0.191124
1.939984,1.030562,2.187711,0.168355
1.940439,1.028248,2.095352,0.158731
1.941240,1.026112,2.013175,0.157471
1.942327,1.024118,1.940042,0.161431
1.943653,1.022235,1.874941,0.168540
1.945179,1.020439,1.816970,0.177441
1.946871,1.018709,1.765330,0.187240
1.948706,1.017029,1.719309,0.197356
1.950662,1.015387,1.678274,0.207414
1.952723,1.013772,1.641663,0.217177
1.954876,1.012176,1.608977,0.226499
1.957109,1.010591,1.579772,0.235297
1.959415,1.009011,1.553655,0.243529
1.961786,1.007433,1.530276,0.251184
1.964216,1.005853,1.509324,0.258266
1.966703,1.004267,1.490524,0.264794
1.969241,1.002673,1.473631,0.270794
1.971829,1.001070,1.458428,0.276295
1.974464,0.999455,1.444720,0.281332
1.977145,0.997827,1.432339,0.285938
1.979871,0.996185,1.421131,0.290148
1.982640,0.994528,1.410961,0.293994
1.985452,0.992856,1.401710,0.297509
1.988306,0.991167,1.393272,0.300722
1.991203,0.989462,1.385552,0.303663
1.994142,0.987740,1.378467,0.306356
1.997123,0.986000,1.371942,0.308828
2.000147,0.984242,1.365912,0.311100
2.003212,0.982466,1.360318,0.313194
2.006321,0.980671,1.355109,0.315127
2.009472,0.978858,1.350237,0.316917
2.012666,0.977027,1.345663,0.318580
2.015903,0.975176,1.341351,0.320129
2.019184,0.973307,1.337267,0.321578
2.022510,0.971418,1.333384,0.322939
2.025880,0.969511,1.329676,0.324220
2.029294,0.967584,1.326121,0.325432
2.032754,0.965637,1.322698,0.326583
2.036260,0.963671,1.319391,0.327681
2.039812,0.961686,1.316183,0.328732
2.043410,0.959681,1.313061,0.329742
2.047055,0.957657,1.310012,0.330717
2.050748,0.955613,1.307025,0.331661
2.054488,0.953549,1.304090,0.332579
2.058276,0.951466,1.301200,0.333475
2.062113,0.949363,1.298345,0.334352
2.065999,0.947241,1.295520,0.335213
2.069934,0.945098,1.292719,0.336061
2.073919,0.942937,1.289935,0.336898
2.077955,0.940755,1.287165,0.337727
2.082041,0.938554,1.284404,0.338550
2.086177,0.936334,1.281649,0.339368
2.090365,0.934094,1.278896,0.340182
2.094605,0.931835,1.276142,0.340995
2.098897,0.929556,1.273385,0.341808
2.103241,0.927258,1.270623,0.342621
2.107638,0.924941,1.267853,0.343436
2.112088,0.922604,1.265074,0.344254
2.116591,0.920249,1.262284,0.345075
2.121148,0.917874,1.259481,0.345900
2.125759,0.915481,1.256666,0.346730
2.130424,0.913069,1.253836,0.347565
2.135144,0.910639,1.250991,0.348406
2.139919,0.908190,1.248130,0.349254
2.144748,0.905723,1.245252,0.350108
2.149633,0.903237,1.242357,0.350969
2.154573,0.900734,1.239445,0.351838
2.159569,0.898213,1.236514,0.352714
2.164621,0.895674,1.233565,0.353599
2.169729,0.893118,1.230597,0.354491
2.174893,0.890545,1.227610,0.355393
2.180113,0.887955,1.224604,0.356302
2.185390,0.885348,1.221579,0.357221
2.190723,0.882724,1.218535,0.358149
2.196112,0.880085,1.215472,0.359086
2.201558,0.877429,1.212389,0.360032
2.207061,0.874758,1.209288,0.360987
2.212620,0.872071,1.206167,0.361952
2.218235,0.869370,1.203028,0.362926
2.223907,0.866653,1.199870,0.363910
2.229636,0.863922,1.196693,0.364904
2.235420,0.861177,1.193499,0.365907
2.241261,0.858418,1.190286,0.366920
2.247157,0.855645,1.187055,0.367943
2.253110,0.852860,1.183807,0.368975
2.259117,0.850062,1.180542,0.370017
2.265180,0.847251,1.177259,0.371069
2.271298,0.844428,1.173961,0.372131
2.277471,0.841594,1.170646,0.373202
2.283697,0.838749,1.167315,0.374283
2.289978,0.835893,1.163969,0.375373
2.296312,0.833027,1.160608,0.376474
2.302699,0.830151,1.157232,0.377583
2.309139,0.827266,1.153842,0.378703
2.315630,0.824371,1.150439,0.379831
2.322173,0.821469,1.147022,0.380969
2.328767,0.818558,1.143593,0.382116
2.335411,0.815640,1.140151,0.383273
2.342105,0.812715,1.136698,0.384438
2.348847,0.809783,1.133234,0.385612
2.355637,0.806846,1.129759,0.386795
2.362475,0.803903,1.126274,0.387987
2.369359,0.800956,1.122779,0.389188
2.376289,0.798004,1.119276,0.390397
2.383263,0.795048,1.115764,0.391614
2.390282,0.792089,1.112244,0.392840
2.397343,0.789128,1.108718,0.394074
2.404445,0.786164,1.105185,0.395315
2.411589,0.783199,1.101646,0.396564
2.418772,0.780233,1.098101,0.397821
2.425994,0.777266,1.094552,0.399085
2.433253,0.774300,1.091000,0.400356
2.440548,0.771335,1.087444,0.401634
2.447878,0.768371,1.083885,0.402919
2.455242,0.765409,1.080324,0.404211
