w,x,y,z
2.300752,1.322396,9.054998,230.211809
2.189772,1.275559,8.212284,150.961339
2.094494,1.238270,7.461389,98.968464
2.012548,1.209374,6.792881,64.862031
1.941790,1.187790,6.198262,42.492385
1.880315,1.172534,5.669873,27.823964
1.826460,1.162725,5.200819,18.208564
1.778796,1.157587,4.784898,11.908421
1.736112,1.156454,4.416535,7.783234
1.697394,1.158755,4.090725,5.084768
1.661802,1.164017,3.802979,3.322070
1.628644,1.171844,3.549277,2.173011
1.597358,1.181915,3.326020,1.426236
1.567486,1.193971,3.129994,0.943073
1.538662,1.207807,2.958326,0.632536
1.510592,1.223263,2.808456,0.434922
1.483042,1.240215,2.678104,0.311046
1.455826,1.258574,2.565237,0.235189
1.428800,1.278274,2.468052,0.190461
1.401852,1.299272,2.384946,0.165768
1.374895,1.321544,2.314494,0.153821
1.347867,1.345080,2.255439,0.149833
1.320719,1.369880,2.206663,0.150660
1.293421,1.395956,2.167181,0.154244
1.265954,1.423326,2.136121,0.159243
1.238308,1.452013,2.112715,0.164790
1.210485,1.482046,2.096286,0.170333
1.182492,1.513455,2.086238,0.175528
1.154343,1.546271,2.082047,0.180175
1.126059,1.580523,2.083253,0.184163
1.097665,1.616241,2.089449,0.187446
1.069193,1.653449,2.100280,0.190018
1.040676,1.692169,2.115431,0.191902
1.012153,1.732413,2.134625,0.193135
0.983664,1.774189,2.157615,0.193764
0.955255,1.817494,2.184180,0.193845
0.926972,1.862316,2.214121,0.193433
0.898861,1.908629,2.247257,0.192584
0.870973,1.956399,2.283419,0.191352
0.843356,2.005573,2.322448,0.189790
0.816060,2.056088,2.364193,0.187945
0.789133,2.107866,2.408505,0.185864
0.762624,2.160811,2.455239,0.183586
0.736578,2.214817,2.504248,0.181149
0.711038,2.269761,2.555381,0.178587
0.686045,2.325510,2.608487,0.175928
0.661637,2.381917,2.663407,0.173197
0.637848,2.438827,2.719979,0.170418
0.614707,2.496076,2.778035,0.167609
0.592242,2.553496,2.837402,0.164786
0.570474,2.610916,2.897904,0.161962
0.549420,2.668162,2.959358,0.159148
0.529095,2.725065,3.021581,0.156354
0.509507,2.781457,3.084389,0.153586
0.490663,2.837178,3.147597,0.150850
0.472563,2.892077,3.211021,0.148150
0.455206,2.946011,3.274481,0.145490
0.438587,2.998850,3.337801,0.142872
0.422697,3.050476,3.400812,0.140298
0.407526,3.100785,3.463350,0.137770
0.393060,3.149686,3.525262,0.135289
0.379284,3.197101,3.586401,0.132855
0.366180,3.242969,3.646633,0.130471
0.353731,3.287239,3.705835,0.128135
0.341915,3.329876,3.763893,0.125850
0.330712,3.370856,3.820705,0.123615
0.320101,3.410165,3.876183,0.121431
0.310060,3.447804,3.930249,0.119300
0.300565,3.483778,3.982835,0.117222
0.291595,3.518105,4.033888,0.115197
0.283127,3.550808,4.083361,0.113226
0.275138,3.581918,4.131223,0.111309
0.267607,3.611472,4.177447,0.109448
0.260512,3.639509,4.222019,0.107643
0.253832,3.666076,4.264933,0.105893
0.247546,3.691219,4.306189,0.104200
0.241634,3.714990,4.345796,0.102563
0.236076,3.737439,4.383768,0.100982
0.230854,3.758621,4.420127,0.099457
0.225950,3.778589,4.454897,0.097988
0.221347,3.797396,4.488109,0.096574
0.217026,3.815096,4.519797,0.095215
0.212974,3.831742,4.549997,0.093910
0.209174,3.847386,4.578751,0.092659
0.205612,3.862079,4.606100,0.091460
0.202274,3.875871,4.632089,0.090313
0.199147,3.888809,4.656762,0.089216
