w,x,y,z
2.290718,1.316597,9.000082,175.523960
2.172753,1.265630,8.114071,87.786858
2.073031,1.225654,7.329738,43.919414
1.988678,1.195263,6.636125,21.987016
1.917078,1.173132,6.023404,11.022389
1.855903,1.158044,5.482761,5.541924
1.803133,1.148907,5.006295,2.803840
1.757048,1.144773,4.586931,1.437267
1.716216,1.144828,4.218338,0.756783
1.679459,1.148396,3.894863,0.419674
1.645822,1.154919,3.611461,0.254574
1.614539,1.163947,3.363639,0.175772
1.585004,1.175123,3.147402,0.140369
1.556739,1.188165,2.959200,0.126861
1.529369,1.202857,2.795887,0.124427
1.502603,1.219035,2.654672,0.127581
1.476217,1.236580,2.533091,0.133497
1.450040,1.255406,2.428964,0.140682
1.423940,1.275455,2.340368,0.148313
1.397819,1.296694,2.265608,0.155910
1.371605,1.319106,2.203192,0.163176
1.345246,1.342688,2.151808,0.169917
1.318706,1.367451,2.110305,0.176003
1.291964,1.393412,2.077672,0.181350
1.265007,1.420596,2.053026,0.185910
1.237832,1.449035,2.035592,0.189658
1.210445,1.478762,2.024696,0.192595
1.182856,1.509813,2.019749,0.194738
1.155082,1.542224,2.020238,0.196119
1.127146,1.576032,2.025718,0.196778
1.099073,1.611271,2.035799,0.196766
1.070893,1.647974,2.050147,0.196136
1.042641,1.686166,2.068467,0.194945
1.014355,1.725869,2.090504,0.193251
0.986073,1.767099,2.116035,0.191111
0.957839,1.809860,2.144864,0.188580
0.929698,1.854151,2.176816,0.185713
0.901697,1.899956,2.211734,0.182561
0.873884,1.947248,2.249476,0.179172
0.846307,1.995990,2.289909,0.175591
0.819016,2.046126,2.332906,0.171860
0.792060,2.097588,2.378344,0.168018
0.765487,2.150293,2.426103,0.164101
0.739344,2.204142,2.476058,0.160139
0.713676,2.259021,2.528085,0.156164
0.688525,2.314804,2.582052,0.152200
0.663933,2.371348,2.637822,0.148272
0.639935,2.428502,2.695250,0.144399
0.616566,2.486104,2.754187,0.140600
0.593853,2.543983,2.814473,0.136890
0.571824,2.601964,2.875942,0.133282
0.550499,2.659870,2.938424,0.129786
0.529895,2.717522,3.001740,0.126411
0.510025,2.774744,3.065711,0.123164
0.490898,2.831365,3.130152,0.120049
0.472519,2.887221,3.194879,0.117069
0.454888,2.942157,3.259708,0.114226
0.438002,2.996029,3.324457,0.111519
0.421856,3.048707,3.388949,0.108949
0.406441,3.100072,3.453013,0.106513
0.391744,3.150022,3.516482,0.104208
0.377753,3.198468,3.579202,0.102032
0.364449,3.245337,3.641027,0.099979
0.351816,3.290570,3.701819,0.098046
0.339834,3.334123,3.761455,0.096227
0.328482,3.375965,3.819822,0.094519
0.317739,3.416078,3.876820,0.092915
0.307581,3.454457,3.932361,0.091411
0.297987,3.491106,3.986370,0.090002
0.288933,3.526041,4.038783,0.088682
0.280397,3.559283,4.089548,0.087447
0.272355,3.590865,4.138627,0.086291
0.264783,3.620823,4.185990,0.085211
0.257661,3.649201,4.231619,0.084201
0.250965,3.676045,4.275503,0.083257
0.244674,3.701407,4.317643,0.082375
0.238768,3.725339,4.358046,0.081552
0.233225,3.747898,4.396728,0.080784
0.228027,3.769139,4.433709,0.080066
0.223154,3.789121,4.469018,0.079396
0.218588,3.807902,4.502687,0.078771
0.214311,3.825538,4.534753,0.078188
0.210308,3.842086,4.565256,0.077643
0.206561,3.857601,4.594240,0.077135
0.203056,3.872139,4.621751,0.076661
0.199779,3.885752,4.647838,0.076219
0.196716,3.898492,4.672549,0.075807
0.193853,3.910407,4.695937,0.075422
0.191178,3.921546,4.718052,0.075063
0.188680,3.931954,4.738945,0.074729
0.186347,3.941675,4.758668,0.074416
0.184170,3.950750,4.777273,0.074125
0.182138,3.959219,4.794810,0.073854
0.180242,3.967120,4.811328,0.073600
0.178473,3.974489,4.826877,0.073364
0.176824,3.981359,4.841503,0.073144
0.175285,3.987762,4.855254,0.072938
0.173851,3.993729,4.868174,0.072747
0.172514,3.999288,4.880307,0.072568
0.171268,4.004465,4.891695,0.072402
0.170107,4.009287,4.902377,0.072247
0.169026,4.013776,4.912394,0.072102
0.168018,4.017954,4.921782,0.071967
0.167079,4.021844,4.930577,0.071842
0.166205,4.025463,4.938814,0.071724
0.165390,4.028831,4.946523,0.071615
0.164632,4.031964,4.953738,0.071514
0.163926,4.034879,4.960486,0.071419
0.163269,4.037590,4.966796,0.071330
0.162657,4.040112,4.972695,0.071248
0.162088,4.042457,4.978208,0.071172
0.161558,4.044638,4.983358,0.071100
0.161064,4.046666,4.988168,0.071034
0.160605,4.048552,4.992659,0.070972
0.160178,4.050305,4.996852,0.070914
0.159781,4.051935,5.000764,0.070860
0.159411,4.053451,5.004416,0.070810
0.159067,4.054859,5.007822,0.070764
0.158747,4.056169,5.010998,0.070720
0.158450,4.057386,5.013961,0.070680
0.158173,4.058518,5.016723,0.070642
0.157915,4.059569,5.019297,0.070607
0.157676,4.060547,5.021697,0.070575
0.157453,4.061456,5.023933,0.070544
0.157246,4.062300,5.026017,0.070516
0.157053,4.063085,5.027958,0.070490
0.156874,4.063814,5.029766,0.070465
0.156707,4.064492,5.031450,0.070443
0.156552,4.065122,5.033018,0.070422
0.156408,4.065708,5.034478,0.070402
0.156274,4.066252,5.035838,0.070383
0.156150,4.066757,5.037103,0.070366
0.156034,4.067227,5.038282,0.070351
0.155926,4.067664,5.039378,0.070336
0.155826,4.068070,5.040399,0.070322
0.155733,4.068447,5.041349,0.070309
0.155647,4.068798,5.042233,0.070297
