w,x,y,z
1.593132,1.960935,2.359458,0.161902
1.592921,1.961231,2.359899,0.161861
1.592716,1.961519,2.360328,0.161822
1.592517,1.961798,2.360746,0.161783
1.592324,1.962071,2.361152,0.161745
1.592136,1.962335,2.361547,0.161709
1.591953,1.962592,2.361931,0.161673
1.591775,1.962843,2.362304,0.161639
1.591602,1.963086,2.362667,0.161605
1.591434,1.963323,2.363021,0.161573
1.591271,1.963553,2.363364,0.161541
1.591112,1.963777,2.363698,0.161510
1.590958,1.963994,2.364023,0.161480
1.590807,1.964206,2.364339,0.161451
1.590662,1.964412,2.364646,0.161423
1.590520,1.964612,2.364945,0.161395
1.590382,1.964806,2.365236,0.161368
1.590248,1.964995,2.365518,0.161342
1.590117,1.965179,2.365793,0.161317
1.589991,1.965358,2.366060,0.161292
1.589868,1.965532,2.366320,0.161268
1.589748,1.965701,2.366573,0.161245
1.589631,1.965866,2.366818,0.161222
1.589518,1.966026,2.367057,0.161201
1.589408,1.966181,2.367290,0.161179
1.589301,1.966332,2.367516,0.161158
1.589197,1.966479,2.367735,0.161138
1.589096,1.966622,2.367949,0.161119
1.588998,1.966761,2.368157,0.161099
1.588903,1.966896,2.368359,0.161081
1.588810,1.967028,2.368555,0.161063
1.588719,1.967155,2.368746,0.161045
1.588632,1.967280,2.368932,0.161028
1.588546,1.967400,2.369113,0.161012
1.588463,1.967518,2.369288,0.160996
1.588383,1.967632,2.369459,0.160980
1.588304,1.967743,2.369625,0.160965
1.588228,1.967851,2.369786,0.160950
1.588154,1.967956,2.369943,0.160935
1.588082,1.968058,2.370096,0.160921
1.588012,1.968157,2.370244,0.160908
1.587944,1.968254,2.370388,0.160895
1.587878,1.968347,2.370529,0.160882
1.587814,1.968439,2.370665,0.160869
1.587751,1.968527,2.370798,0.160857
1.587690,1.968613,2.370927,0.160845
1.587631,1.968697,2.371052,0.160834
1.587574,1.968779,2.371174,0.160823
1.587518,1.968858,2.371292,0.160812
1.587464,1.968935,2.371408,0.160801
1.587411,1.969010,2.371520,0.160791
1.587359,1.969083,2.371629,0.160781
1.587310,1.969154,2.371735,0.160771
1.587261,1.969222,2.371838,0.160762
1.587214,1.969289,2.371938,0.160753
1.587168,1.969354,2.372035,0.160744
1.587123,1.969418,2.372130,0.160735
1.587080,1.969479,2.372222,0.160727
1.587038,1.969539,2.372311,0.160719
1.586997,1.969597,2.372398,0.160711
1.586957,1.969654,2.372483,0.160703
1.586919,1.969708,2.372565,0.160695
1.586881,1.969762,2.372645,0.160688
1.586844,1.969814,2.372723,0.160681
1.586809,1.969864,2.372798,0.160674
1.586774,1.969913,2.372872,0.160667
1.586741,1.969961,2.372943,0.160661
1.586708,1.970008,2.373013,0.160654
1.586676,1.970053,2.373080,0.160648
1.586645,1.970097,2.373146,0.160642
1.586615,1.970139,2.373210,0.160636
1.586586,1.970181,2.373272,0.160631
1.586558,1.970221,2.373332,0.160625
1.586530,1.970260,2.373391,0.160620
1.586503,1.970298,2.373448,0.160615
1.586477,1.970335,2.373503,0.160610
1.586452,1.970371,2.373557,0.160605
1.586427,1.970406,2.373609,0.160600
1.586403,1.970440,2.373660,0.160595
1.586380,1.970473,2.373710,0.160591
1.586357,1.970506,2.373758,0.160586
1.586335,1.970537,2.373805,0.160582
1.586314,1.970567,2.373850,0.160578
1.586293,1.970597,2.373895,0.160574
1.586273,1.970626,2.373938,0.160570
1.586253,1.970653,2.373980,0.160566
1.586234,1.970681,2.374020,0.160562
