w,x,y,z
2.330718,1.316597,9.000082,175.523960
2.248753,1.263790,8.113611,87.786858
2.181672,1.220118,7.328142,43.919414
2.127228,1.184221,6.632542,21.987020
2.083389,1.154863,6.016842,11.022401
2.048358,1.130942,5.472130,5.541952
2.020577,1.111500,4.990434,2.803903
1.998715,1.095715,4.564636,1.437393
1.981656,1.082892,4.188386,0.757015
1.968471,1.072456,3.856023,0.420079
1.958400,1.063930,3.562509,0.255246
1.950822,1.056928,3.303360,0.176838
1.945237,1.051136,3.074597,0.141998
1.941240,1.046302,2.872685,0.129265
1.938509,1.042224,2.694490,0.127865
1.936787,1.038741,2.537237,0.132357
1.935869,1.035723,2.398465,0.139960
1.935593,1.033071,2.275999,0.149216
1.935829,1.030703,2.167916,0.159331
1.936477,1.028555,2.072514,0.169843
1.937455,1.026578,1.988292,0.180460
1.938701,1.024731,1.913922,0.190984
1.940164,1.022984,1.848234,0.201272
1.941805,1.021311,1.790194,0.211216
1.943593,1.019693,1.738890,0.220738
1.945504,1.018116,1.693517,0.229779
1.947520,1.016565,1.653368,0.238302
1.949624,1.015034,1.617816,0.246285
1.951805,1.013512,1.586311,0.253722
1.954055,1.011996,1.558367,0.260614
1.956365,1.010479,1.533557,0.266976
1.958732,1.008959,1.511503,0.272827
1.961149,1.007432,1.491873,0.278192
1.963615,1.005896,1.474375,0.283101
1.966126,1.004349,1.458752,0.287583
1.968681,1.002790,1.444775,0.291671
1.971278,1.001217,1.432247,0.295395
1.973917,0.999629,1.420990,0.298788
1.976596,0.998027,1.410850,0.301879
1.979316,0.996408,1.401691,0.304696
1.982076,0.994773,1.393392,0.307267
1.984876,0.993121,1.385847,0.309617
1.987715,0.991451,1.378964,0.311768
1.990595,0.989764,1.372660,0.313742
1.993515,0.988060,1.366864,0.315558
1.996475,0.986337,1.361512,0.317233
1.999476,0.984596,1.356547,0.318785
2.002518,0.982837,1.351921,0.320227
2.005602,0.981059,1.347591,0.321571
2.008727,0.979262,1.343518,0.322831
2.011894,0.977447,1.339668,0.324016
2.015104,0.975612,1.336012,0.325136
2.018356,0.973759,1.332525,0.326198
2.021652,0.971887,1.329182,0.327211
2.024992,0.969995,1.325964,0.328181
2.028376,0.968085,1.322854,0.329113
2.031804,0.966155,1.319834,0.330014
2.035278,0.964206,1.316893,0.330888
2.038797,0.962237,1.314017,0.331739
2.042362,0.960249,1.311195,0.332570
2.045973,0.958242,1.308420,0.333385
2.049631,0.956215,1.305681,0.334187
2.053336,0.954169,1.302972,0.334979
2.057088,0.952103,1.300287,0.335762
2.060889,0.950017,1.297619,0.336539
2.064738,0.947913,1.294965,0.337311
2.068636,0.945788,1.292318,0.338080
2.072583,0.943644,1.289677,0.338848
2.076580,0.941481,1.287037,0.339615
2.080627,0.939298,1.284395,0.340384
2.084724,0.937096,1.281748,0.341154
2.088872,0.934874,1.279095,0.341927
2.093071,0.932633,1.276434,0.342704
2.097322,0.930373,1.273762,0.343485
2.101625,0.928093,1.271078,0.344270
2.105979,0.925795,1.268381,0.345061
2.110387,0.923477,1.265669,0.345859
2.114847,0.921140,1.262942,0.346662
2.119361,0.918784,1.260199,0.347472
2.123928,0.916410,1.257438,0.348290
2.128549,0.914017,1.254660,0.349114
2.133224,0.911605,1.251864,0.349947
2.137954,0.909175,1.249049,0.350787
2.142738,0.906727,1.246214,0.351636
2.147577,0.904260,1.243361,0.352493
2.152471,0.901775,1.240487,0.353359
2.157420,0.899273,1.237594,0.354234
2.162425,0.896753,1.234681,0.355117
2.167486,0.894215,1.231747,0.356010
2.172603,0.891661,1.228793,0.356912
2.177775,0.889089,1.225819,0.357823
2.183004,0.886500,1.222825,0.358743
2.188289,0.883895,1.219811,0.359673
2.193630,0.881273,1.216776,0.360612
2.199028,0.878636,1.213721,0.361561
2.204482,0.875982,1.210647,0.362520
2.209992,0.873313,1.207553,0.363488
2.215559,0.870629,1.204439,0.364466
2.221182,0.867929,1.201306,0.365453
2.226861,0.865215,1.198154,0.366451
2.232597,0.862487,1.194983,0.367458
2.238389,0.859744,1.191793,0.368475
2.244237,0.856988,1.188585,0.369501
2.250141,0.854218,1.185359,0.370538
2.256100,0.851436,1.182115,0.371584
2.262115,0.848640,1.178854,0.372640
2.268184,0.845833,1.175576,0.373705
2.274309,0.843013,1.172281,0.374780
2.280488,0.840182,1.168970,0.375865
2.286722,0.837340,1.165643,0.376959
2.293009,0.834488,1.162300,0.378063
2.299350,0.831625,1.158942,0.379176
2.305744,0.828752,1.155570,0.380299
2.312190,0.825870,1.152184,0.381430
2.318688,0.822980,1.148784,0.382571
2.325237,0.820081,1.145370,0.383722
2.331838,0.817174,1.141944,0.384881
2.338488,0.814259,1.138506,0.386049
2.345188,0.811338,1.135055,0.387226
2.351937,0.808410,1.131594,0.388411
2.358734,0.805476,1.128122,0.389605
2.365578,0.802537,1.124640,0.390808
2.372469,0.799593,1.121149,0.392019
2.379405,0.796645,1.117648,0.393238
2.386386,0.793693,1.114139,0.394465
2.393411,0.790738,1.110623,0.395700
2.400479,0.787780,1.107099,0.396942
2.407589,0.784820,1.103568,0.398193
2.414739,0.781859,1.100032,0.399450
2.421930,0.778897,1.096491,0.400715
2.429159,0.775934,1.092944,0.401986
2.436425,0.772971,1.089394,0.403265
2.443728,0.770010,1.085841,0.404550
2.451065,0.767049,1.082284,0.405841
2.458437,0.764091,1.078726,0.407139
2.465841,0.761135,1.075167,0.408442
2.473276,0.758183,1.071606,0.409751
2.480741,0.755234,1.068046,0.411066
2.488235,0.752289,1.064487,0.412386
2.495755,0.749350,1.060929,0.413711
2.503301,0.746416,1.057373,0.415040
2.510871,0.743488,1.053820,0.416374
2.518463,0.740567,1.050270,0.417712
2.526077,0.737653,1.046725,0.419055
2.533709,0.734747,1.043184,0.420400
2.541360,0.731849,1.039649,0.421750
2.549027,0.728961,1.036121,0.423102
2.556708,0.726083,1.032599,0.424457
2.564401,0.723214,1.029086,0.425815
2.572106,0.720357,1.025580,0.427175
2.579821,0.717511,1.022084,0.428537
2.587543,0.714676,1.018598,0.429900
2.595271,0.711855,1.015122,0.431265
2.603003,0.709046,1.011658,0.432631
2.610737,0.706251,1.008205,0.433998
2.618472,0.703470,1.004765,0.435365
2.626206,0.700703,1.001338,0.436732
2.633937,0.697952,0.997925,0.438098
2.641662,0.695217,0.994526,0.439465
2.649382,0.692497,0.991143,0.440830
2.657093,0.689794,0.987776,0.442194
2.664793,0.687108,0.984425,0.443557
2.672482,0.684440,0.981091,0.444918
2.680156,0.681790,0.977774,0.446277
2.687815,0.679158,0.974476,0.447633
2.695457,0.676545,0.971197,0.448986
2.703079,0.673951,0.967937,0.450337
2.710680,0.671377,0.964698,0.451684
2.718258,0.668823,0.961478,0.453027
2.725812,0.666289,0.958280,0.454366
2.733340,0.663776,0.955103,0.455701
2.740839,0.661284,0.951949,0.457031
2.748309,0.658814,0.948817,0.458356
2.755748,0.656365,0.945708,0.459676
2.763153,0.653939,0.942623,0.460991
2.770525,0.651535,0.939562,0.462299
2.777859,0.649153,0.936525,0.463602
2.785157,0.646794,0.933512,0.464898
2.792415,0.644459,0.930526,0.466188
2.799632,0.642147,0.927564,0.467470
2.806807,0.639858,0.924629,0.468745
2.813938,0.637593,0.921720,0.470013
2.821024,0.635352,0.918838,0.471273
2.828064,0.633136,0.915983,0.472525
2.835056,0.630944,0.913155,0.473769
2.841999,0.628776,0.910354,0.475005
2.848891,0.626632,0.907582,0.476232
2.855733,0.624514,0.904837,0.477450
2.862521,0.622420,0.902121,0.478658
2.869256,0.620351,0.899434,0.479858
2.875936,0.618307,0.896775,0.481048
2.882559,0.616289,0.894145,0.482228
2.889126,0.614295,0.891545,0.483399
2.895636,0.612326,0.888973,0.484559
2.902086,0.610383,0.886431,0.485709
2.908477,0.608465,0.883919,0.486849
2.914807,0.606572,0.881436,0.487978
2.921076,0.604704,0.878983,0.489096
2.927283,0.602861,0.876560,0.490204
2.933427,0.601043,0.874166,0.491301
2.939508,0.599250,0.871803,0.492386
2.945525,0.597483,0.869469,0.493461
2.951478,0.595740,0.867165,0.494524
2.957365,0.594022,0.864892,0.495576
2.963187,0.592329,0.862648,0.496616
2.968944,0.590661,0.860434,0.497644
2.974634,0.589017,0.858250,0.498661
2.980257,0.587397,0.856096,0.499667
2.985813,0.585802,0.853972,0.500660
2.991303,0.584231,0.851877,0.501642
2.996725,0.582684,0.849812,0.502612
3.002079,0.581161,0.847776,0.503570
3.007366,0.579662,0.845770,0.504515
3.012584,0.578186,0.843793,0.505449
3.017735,0.576734,0.841845,0.506371
3.022818,0.575305,0.839926,0.507281
3.027833,0.573899,0.838036,0.508179
3.032780,0.572515,0.836175,0.509065
3.037660,0.571155,0.834342,0.509939
3.042472,0.569817,0.832537,0.510801
3.047216,0.568501,0.830760,0.511651
3.051893,0.567207,0.829011,0.512489
3.056502,0.565935,0.827290,0.513315
3.061045,0.564685,0.825597,0.514130
3.065521,0.563456,0.823931,0.514932
3.069930,0.562248,0.822291,0.515723
3.074274,0.561061,0.820679,0.516502
3.078552,0.559895,0.819093,0.517269
3.082764,0.558749,0.817534,0.518024
3.086911,0.557624,0.816000,0.518768
3.090994,0.556518,0.814493,0.519501
3.095013,0.555433,0.813011,0.520222
3.098967,0.554366,0.811554,0.520932
3.102859,0.553319,0.810122,0.521630
3.106688,0.552292,0.808715,0.522318
3.110454,0.551282,0.807333,0.522994
3.114159,0.550292,0.805974,0.523659
3.117802,0.549320,0.804640,0.524313
3.121385,0.548365,0.803329,0.524957
3.124908,0.547429,0.802042,0.525590
3.128371,0.546510,0.800778,0.526212
3.131775,0.545608,0.799536,0.526823
3.135121,0.544724,0.798317,0.527424
3.138409,0.543856,0.797120,0.528015
3.141640,0.543005,0.795946,0.528596
3.144814,0.542170,0.794792,0.529167
3.147933,0.541351,0.793661,0.529727
3.150996,0.540548,0.792550,0.530278
3.154005,0.539760,0.791460,0.530819
3.156960,0.538988,0.790390,0.531350
3.159862,0.538231,0.789341,0.531872
3.162711,0.537489,0.788311,0.532384
3.165508,0.536761,0.787301,0.532887
3.168254,0.536048,0.786310,0.533381
3.170949,0.535349,0.785338,0.533866
3.173595,0.534664,0.784385,0.534342
3.176191,0.533992,0.783451,0.534809
3.178738,0.533334,0.782534,0.535267
3.181238,0.532689,0.781636,0.535717
3.183691,0.532057,0.780755,0.536159
3.186097,0.531438,0.779891,0.536592
3.188457,0.530831,0.779044,0.537016
3.190773,0.530237,0.778214,0.537433
3.193043,0.529655,0.777401,0.537842
3.195270,0.529085,0.776603,0.538243
3.197454,0.528526,0.775822,0.538636
3.199595,0.527979,0.775056,0.539022
3.201695,0.527443,0.774306,0.539400
3.203753,0.526918,0.773570,0.539770
3.205771,0.526404,0.772850,0.540134
3.207749,0.525901,0.772144,0.540490
3.209688,0.525408,0.771453,0.540839
3.211589,0.524926,0.770775,0.541181
3.213451,0.524453,0.770112,0.541517
3.215276,0.523991,0.769462,0.541846
3.217065,0.523538,0.768825,0.542168
3.218818,0.523095,0.768202,0.542484
3.220535,0.522661,0.767591,0.542793
3.222217,0.522236,0.766993,0.543096
3.223866,0.521820,0.766407,0.543393
3.225480,0.521413,0.765834,0.543684
3.227062,0.521015,0.765273,0.543969
3.228611,0.520625,0.764723,0.544248
3.230129,0.520243,0.764185,0.544522
3.231615,0.519870,0.763658,0.544790
3.233071,0.519504,0.763142,0.545052
3.234496,0.519147,0.762637,0.545309
3.235892,0.518797,0.762143,0.545560
3.237259,0.518454,0.761659,0.545807
3.238598,0.518119,0.761185,0.546048
3.239908,0.517791,0.760722,0.546284
3.241191,0.517470,0.760268,0.546516
3.242447,0.517157,0.759824,0.546742
3.243677,0.516850,0.759389,0.546964
3.244881,0.516549,0.758964,0.547181
3.246059,0.516255,0.758548,0.547393
3.247212,0.515968,0.758140,0.547601
3.248341,0.515687,0.757742,0.547805
3.249446,0.515411,0.757352,0.548004
3.250528,0.515142,0.756971,0.548199
