w,x,y,z
0.000400,0.000417,0.000120,0.000370
0.000800,0.000833,0.000240,0.000740
0.001200,0.001250,0.000360,0.001109
0.001600,0.001666,0.000480,0.001479
0.001999,0.002083,0.000600,0.001848
0.002399,0.002499,0.000721,0.002217
0.002799,0.002916,0.000841,0.002586
0.003199,0.003332,0.000961,0.002955
0.003598,0.003748,0.001081,0.003324
0.003998,0.004165,0.001202,0.003693
0.004398,0.004581,0.001322,0.004061
0.004797,0.004997,0.001443,0.004429
0.005197,0.005413,0.001563,0.004798
0.005596,0.005829,0.001683,0.005166
0.005995,0.006245,0.001804,0.005533
0.006395,0.006661,0.001925,0.005901
0.006794,0.007077,0.002045,0.006269
0.007193,0.007493,0.002166,0.006636
0.007593,0.007909,0.002286,0.007003
0.007992,0.008325,0.002407,0.007371
0.008391,0.008741,0.002528,0.007738
0.008790,0.009157,0.002649,0.008104
0.009189,0.009572,0.002769,0.008471
0.009588,0.009988,0.002890,0.008838
0.009987,0.010404,0.003011,0.009204
0.010386,0.010819,0.003132,0.009570
0.010785,0.011235,0.003253,0.009936
0.011184,0.011650,0.003374,0.010302
0.011582,0.012066,0.003495,0.010668
0.011981,0.012481,0.003616,0.011034
0.012380,0.012897,0.003737,0.011399
0.012778,0.013312,0.003858,0.011765
0.013177,0.013728,0.003979,0.012130
0.013576,0.014143,0.004100,0.012495
0.013974,0.014558,0.004222,0.012860
0.014372,0.014973,0.004343,0.013225
0.014771,0.015388,0.004464,0.013589
0.015169,0.015804,0.004585,0.013954
0.015568,0.016219,0.004707,0.014318
0.015966,0.016634,0.004828,0.014682
0.016364,0.017049,0.004949,0.015046
0.016762,0.017464,0.005071,0.015410
0.017160,0.017879,0.005192,0.015774
0.017558,0.018294,0.005314,0.016138
0.017956,0.018708,0.005435,0.016501
0.018354,0.019123,0.005557,0.016864
0.018752,0.019538,0.005679,0.017228
0.019150,0.019953,0.005800,0.017591
0.019548,0.020367,0.005922,0.017953
0.019946,0.020782,0.006044,0.018316
0.020343,0.021197,0.006165,0.018679
0.020741,0.021611,0.006287,0.019041
0.021139,0.022026,0.006409,0.019403
0.021536,0.022440,0.006531,0.019766
0.021934,0.022855,0.006653,0.020128
0.022331,0.023269,0.006775,0.020489
0.022729,0.023683,0.006897,0.020851
0.023126,0.024098,0.007019,0.021213
0.023523,0.024512,0.007141,0.021574
0.023921,0.024926,0.007263,0.021935
0.024318,0.025341,0.007385,0.022297
0.024715,0.025755,0.007507,0.022657
0.025112,0.026169,0.007629,0.023018
0.025509,0.026583,0.007751,0.023379
0.025906,0.026997,0.007873,0.023740
0.026303,0.027411,0.007996,0.024100
0.026700,0.027825,0.008118,0.024460
0.027097,0.028239,0.008240,0.024820
0.027494,0.028653,0.008363,0.025180
0.027890,0.029067,0.008485,0.025540
0.028287,0.029480,0.008607,0.025900
0.028684,0.029894,0.008730,0.026259
0.029080,0.030308,0.008852,0.026619
0.029477,0.030722,0.008975,0.026978
0.029873,0.031135,0.009097,0.027337
0.030270,0.031549,0.009220,0.027696
0.030666,0.031963,0.009342,0.028055
0.031062,0.032376,0.009465,0.028413
0.031459,0.032790,0.009588,0.028772
0.031855,0.033203,0.009710,0.029130
0.032251,0.033616,0.009833,0.029488
0.032647,0.034030,0.009956,0.029847
0.033043,0.034443,0.010079,0.030204
0.033439,0.034857,0.010202,0.030562
0.033835,0.035270,0.010324,0.030920
0.034231,0.035683,0.010447,0.031277
0.034626,0.036096,0.010570,0.031635
0.035022,0.036509,0.010693,0.031992
0.035418,0.036923,0.010816,0.032349
0.035813,0.037336,0.010939,0.032706
0.036209,0.037749,0.011062,0.033063
0.036604,0.038162,0.011185,0.033419
0.037000,0.038575,0.011308,0.033776
0.037395,0.038988,0.011432,0.034132
0.037791,0.039400,0.011555,0.034488
0.038186,0.039813,0.011678,0.034844
0.038581,0.040226,0.011801,0.035200
0.038976,0.040639,0.011925,0.035556
0.039371,0.041052,0.012048,0.035912
0.039766,0.041464,0.012171,0.036267
0.040161,0.041877,0.012295,0.036623
0.040556,0.042290,0.012418,0.036978
0.040951,0.042702,0.012541,0.037333
0.041346,0.043115,0.012665,0.037688
0.041741,0.043527,0.012788,0.038043
0.042135,0.043940,0.012912,0.038397
0.042530,0.044352,0.013035,0.038752
0.042924,0.044765,0.013159,0.039106
0.043319,0.045177,0.013283,0.039460
0.043713,0.045589,0.013406,0.039814
0.044108,0.046001,0.013530,0.040168
0.044502,0.046414,0.013654,0.040522
0.044896,0.046826,0.013778,0.040875
0.045290,0.047238,0.013901,0.041229
0.045684,0.047650,0.014025,0.041582
0.046078,0.048062,0.014149,0.041935
0.046472,0.048474,0.014273,0.042288
0.046866,0.048886,0.014397,0.042641
0.047260,0.049298,0.014521,0.042994
0.047654,0.049710,0.014645,0.043347
0.048048,0.050122,0.014769,0.043699
0.048441,0.050534,0.014893,0.044052
0.048835,0.050946,0.015017,0.044404
0.049229,0.051358,0.015141,0.044756
0.049622,0.051769,0.015265,0.045108
0.050015,0.052181,0.015389,0.045459
0.050409,0.052593,0.015513,0.045811
0.050802,0.053004,0.015637,0.046162
0.051195,0.053416,0.015762,0.046514
0.051588,0.053828,0.015886,0.046865
0.051981,0.054239,0.016010,0.047216
0.052374,0.054651,0.016135,0.047567
0.052767,0.055062,0.016259,0.047918
0.053160,0.055474,0.016383,0.048268
0.053553,0.055885,0.016508,0.048619
0.053946,0.056296,0.016632,0.048969
0.054338,0.056708,0.016757,0.049319
0.054731,0.057119,0.016881,0.049669
0.055124,0.057530,0.017006,0.050019
0.055516,0.057941,0.017130,0.050369
0.055909,0.058352,0.017255,0.050719
0.056301,0.058764,0.017380,0.051068
0.056693,0.059175,0.017504,0.051417
0.057085,0.059586,0.017629,0.051767
0.057477,0.059997,0.017754,0.052116
0.057870,0.060408,0.017878,0.052465
0.058262,0.060819,0.018003,0.052813
0.058654,0.061230,0.018128,0.053162
0.059045,0.061640,0.018253,0.053510
0.059437,0.062051,0.018378,0.053859
0.059829,0.062462,0.018503,0.054207
0.060221,0.062873,0.018628,0.054555
0.060612,0.063284,0.018753,0.054903
0.061004,0.063694,0.018878,0.055251
0.061395,0.064105,0.019003,0.055598
0.061786,0.064516,0.019128,0.055946
0.062178,0.064926,0.019253,0.056293
0.062569,0.065337,0.019378,0.056640
0.062960,0.065747,0.019503,0.056988
0.063351,0.066158,0.019628,0.057334
0.063742,0.066568,0.019753,0.057681
0.064133,0.066978,0.019879,0.058028
0.064524,0.067389,0.020004,0.058374
0.064915,0.067799,0.020129,0.058721
0.065306,0.068209,0.020254,0.059067
0.065696,0.068620,0.020380,0.059413
0.066087,0.069030,0.020505,0.059759
0.066477,0.069440,0.020631,0.060105
0.066868,0.069850,0.020756,0.060450
0.067258,0.070260,0.020881,0.060796
0.067649,0.070670,0.021007,0.061141
0.068039,0.071080,0.021132,0.061487
0.068429,0.071490,0.021258,0.061832
0.068819,0.071900,0.021384,0.062177
0.069209,0.072310,0.021509,0.062521
0.069599,0.072720,0.021635,0.062866
0.069989,0.073130,0.021760,0.063211
0.070379,0.073540,0.021886,0.063555
0.070768,0.073950,0.022012,0.063899
0.071158,0.074359,0.022138,0.064243
0.071547,0.074769,0.022263,0.064587
0.071937,0.075179,0.022389,0.064931
0.072326,0.075589,0.022515,0.065275
0.072716,0.075998,0.022641,0.065618
0.073105,0.076408,0.022767,0.065962
0.073494,0.076817,0.022893,0.066305
0.073883,0.077227,0.023019,0.066648
0.074272,0.077636,0.023145,0.066991
0.074661,0.078046,0.023271,0.067334
0.075050,0.078455,0.023397,0.067677
0.075439,0.078864,0.023523,0.068019
0.075828,0.079274,0.023649,0.068362
0.076216,0.079683,0.023775,0.068704
0.076605,0.080092,0.023901,0.069046
0.076993,0.080502,0.024027,0.069388
0.077382,0.080911,0.024153,0.069730
0.077770,0.081320,0.024280,0.070072
0.078158,0.081729,0.024406,0.070413
0.078546,0.082138,0.024532,0.070755
0.078935,0.082547,0.024659,0.071096
0.079323,0.082956,0.024785,0.071437
0.079710,0.083365,0.024911,0.071778
0.080098,0.083774,0.025038,0.072119
0.080486,0.084183,0.025164,0.072460
0.080874,0.084592,0.025291,0.072801
0.081261,0.085001,0.025417,0.073141
0.081649,0.085410,0.025544,0.073481
0.082036,0.085818,0.025670,0.073822
0.082424,0.086227,0.025797,0.074162
0.082811,0.086636,0.025923,0.074501
0.083198,0.087044,0.026050,0.074841
0.083586,0.087453,0.026176,0.075181
0.083973,0.087862,0.026303,0.075520
0.084360,0.088270,0.026430,0.075860
0.084746,0.088679,0.026557,0.076199
0.085133,0.089087,0.026683,0.076538
0.085520,0.089496,0.026810,0.076877
0.085907,0.089904,0.026937,0.077216
0.086293,0.090313,0.027064,0.077554
0.086680,0.090721,0.027191,0.077893
0.087066,0.091129,0.027318,0.078231
0.087453,0.091538,0.027444,0.078570
0.087839,0.091946,0.027571,0.078908
0.088225,0.092354,0.027698,0.079246
0.088611,0.092762,0.027825,0.079584
0.088997,0.093170,0.027952,0.079921
0.089383,0.093579,0.028079,0.080259
0.089769,0.093987,0.028207,0.080596
0.090155,0.094395,0.028334,0.080933
0.090540,0.094803,0.028461,0.081271
0.090926,0.095211,0.028588,0.081608
0.091311,0.095619,0.028715,0.081944
0.091697,0.096027,0.028842,0.082281
0.092082,0.096434,0.028970,0.082618
0.092467,0.096842,0.029097,0.082954
0.092852,0.097250,0.029224,0.083291
0.093238,0.097658,0.029351,0.083627
0.093622,0.098066,0.029479,0.083963
0.094007,0.098473,0.029606,0.084299
0.094392,0.098881,0.029734,0.084634
0.094777,0.099289,0.029861,0.084970
0.095162,0.099696,0.029988,0.085305
0.095546,0.100104,0.030116,0.085641
0.095931,0.100512,0.030243,0.085976
0.096315,0.100919,0.030371,0.086311
0.096699,0.101327,0.030499,0.086646
0.097084,0.101734,0.030626,0.086981
0.097468,0.102141,0.030754,0.087315
0.097852,0.102549,0.030881,0.087650
0.098236,0.102956,0.031009,0.087984
0.098620,0.103363,0.031137,0.088319
0.099003,0.103771,0.031264,0.088653
0.099387,0.104178,0.031392,0.088987
0.099771,0.104585,0.031520,0.089320
0.100154,0.104992,0.031648,0.089654
0.100538,0.105400,0.031776,0.089988
0.100921,0.105807,0.031903,0.090321
0.101304,0.106214,0.032031,0.090654
0.101687,0.106621,0.032159,0.090988
0.102070,0.107028,0.032287,0.091321
0.102453,0.107435,0.032415,0.091653
0.102836,0.107842,0.032543,0.091986
0.103219,0.108249,0.032671,0.092319
0.103602,0.108656,0.032799,0.092651
0.103985,0.109062,0.032927,0.092984
0.104367,0.109469,0.033055,0.093316
0.104750,0.109876,0.033183,0.093648
0.105132,0.110283,0.033311,0.093980
0.105514,0.110690,0.033440,0.094311
0.105896,0.111096,0.033568,0.094643
0.106278,0.111503,0.033696,0.094975
0.106660,0.111910,0.033824,0.095306
0.107042,0.112316,0.033952,0.095637
0.107424,0.112723,0.034081,0.095968
0.107806,0.113129,0.034209,0.096299
0.108188,0.113536,0.034337,0.096630
0.108569,0.113942,0.034466,0.096961
0.108951,0.114349,0.034594,0.097291
0.109332,0.114755,0.034723,0.097622
0.109713,0.115161,0.034851,0.097952
0.110094,0.115568,0.034979,0.098282
0.110475,0.115974,0.035108,0.098612
0.110856,0.116380,0.035236,0.098942
0.111237,0.116787,0.035365,0.099272
0.111618,0.117193,0.035494,0.099601
0.111999,0.117599,0.035622,0.099931
0.112380,0.118005,0.035751,0.100260
0.112760,0.118411,0.035879,0.100589
0.113141,0.118817,0.036008,0.100918
0.113521,0.119223,0.036137,0.101247
0.113901,0.119629,0.036265,0.101576
0.114281,0.120035,0.036394,0.101904
0.114661,0.120441,0.036523,0.102233
0.115041,0.120847,0.036652,0.102561
0.115421,0.121253,0.036781,0.102890
0.115801,0.121659,0.036909,0.103218
0.116181,0.122065,0.037038,0.103546
0.116560,0.122471,0.037167,0.103873
0.116940,0.122876,0.037296,0.104201
0.117319,0.123282,0.037425,0.104529
0.117698,0.123688,0.037554,0.104856
0.118078,0.124093,0.037683,0.105183
0.118457,0.124499,0.037812,0.105510
0.118836,0.124905,0.037941,0.105837
0.119215,0.125310,0.038070,0.106164
0.119594,0.125716,0.038199,0.106491
0.119972,0.126121,0.038328,0.106818
0.120351,0.126527,0.038457,0.107144
0.120729,0.126932,0.038586,0.107470
0.121108,0.127338,0.038716,0.107797
0.121486,0.127743,0.038845,0.108123
0.121864,0.128148,0.038974,0.108449
0.122243,0.128554,0.039103,0.108774
0.122621,0.128959,0.039233,0.109100
0.122999,0.129364,0.039362,0.109426
0.123376,0.129769,0.039491,0.109751
0.123754,0.130175,0.039621,0.110076
0.124132,0.130580,0.039750,0.110401
0.124509,0.130985,0.039879,0.110726
0.124887,0.131390,0.040009,0.111051
0.125264,0.131795,0.040138,0.111376
0.125642,0.132200,0.040268,0.111700
0.126019,0.132605,0.040397,0.112025
