w,x,y,z
0.000400,0.000417,0.000120,0.000420
0.000800,0.000833,0.000240,0.000840
0.001200,0.001250,0.000360,0.001259
0.001600,0.001666,0.000480,0.001679
0.002000,0.002083,0.000600,0.002098
0.002399,0.002499,0.000721,0.002517
0.002799,0.002916,0.000841,0.002936
0.003199,0.003332,0.000961,0.003354
0.003599,0.003749,0.001081,0.003772
0.003998,0.004165,0.001202,0.004191
0.004398,0.004581,0.001322,0.004608
0.004797,0.004997,0.001442,0.005026
0.005197,0.005413,0.001563,0.005444
0.005596,0.005830,0.001683,0.005861
0.005996,0.006246,0.001804,0.006278
0.006395,0.006662,0.001924,0.006695
0.006794,0.007078,0.002045,0.007112
0.007194,0.007494,0.002165,0.007528
0.007593,0.007910,0.002286,0.007944
0.007992,0.008325,0.002407,0.008360
0.008391,0.008741,0.002527,0.008776
0.008790,0.009157,0.002648,0.009192
0.009189,0.009573,0.002769,0.009607
0.009589,0.009989,0.002890,0.010022
0.009987,0.010404,0.003011,0.010437
0.010386,0.010820,0.003131,0.010852
0.010785,0.011235,0.003252,0.011267
0.011184,0.011651,0.003373,0.011681
0.011583,0.012067,0.003494,0.012095
0.011982,0.012482,0.003615,0.012509
0.012380,0.012897,0.003736,0.012923
0.012779,0.013313,0.003857,0.013336
0.013178,0.013728,0.003979,0.013750
0.013576,0.014144,0.004100,0.014163
0.013975,0.014559,0.004221,0.014576
0.014373,0.014974,0.004342,0.014988
0.014772,0.015389,0.004463,0.015401
0.015170,0.015804,0.004585,0.015813
0.015568,0.016219,0.004706,0.016225
0.015967,0.016635,0.004827,0.016637
0.016365,0.017050,0.004949,0.017049
0.016763,0.017465,0.005070,0.017460
0.017161,0.017880,0.005192,0.017872
0.017559,0.018294,0.005313,0.018283
0.017957,0.018709,0.005435,0.018693
0.018355,0.019124,0.005556,0.019104
0.018753,0.019539,0.005678,0.019514
0.019151,0.019954,0.005799,0.019925
0.019549,0.020368,0.005921,0.020335
0.019947,0.020783,0.006043,0.020745
0.020345,0.021198,0.006165,0.021154
0.020742,0.021612,0.006286,0.021564
0.021140,0.022027,0.006408,0.021973
0.021538,0.022441,0.006530,0.022382
0.021935,0.022856,0.006652,0.022791
0.022333,0.023270,0.006774,0.023199
0.022730,0.023685,0.006896,0.023608
0.023127,0.024099,0.007018,0.024016
0.023525,0.024513,0.007140,0.024424
0.023922,0.024928,0.007262,0.024831
0.024319,0.025342,0.007384,0.025239
0.024716,0.025756,0.007506,0.025646
0.025114,0.026170,0.007628,0.026054
0.025511,0.026584,0.007750,0.026460
0.025908,0.026998,0.007872,0.026867
0.026305,0.027412,0.007994,0.027274
0.026702,0.027826,0.008117,0.027680
0.027098,0.028240,0.008239,0.028086
0.027495,0.028654,0.008361,0.028492
0.027892,0.029068,0.008484,0.028898
0.028289,0.029482,0.008606,0.029303
0.028685,0.029896,0.008729,0.029709
